image_id,image_path,classes,organ,classes_clean,instruction
0,1_Breast_fold_1_0000_img.png,Neoplastic;Inflammatory;Connective_Soft_tissue,Breast,Neoplastic and Inflammatory and Connective_Soft_tissue,Circle evident pathology in the Breast attributed to Neoplastic and Inflammatory and Connective_Soft_tissue.
1,1_Breast_fold_1_0001_img.png,Neoplastic;Inflammatory;Connective_Soft_tissue,Breast,Neoplastic and Inflammatory and Connective_Soft_tissue,Microscopy of the Breast reveals features consistent with Neoplastic and Inflammatory and Connective_Soft_tissue.
2,1_Breast_fold_1_0002_img.png,Neoplastic;Connective_Soft_tissue;Inflammatory,Breast,Neoplastic and Connective_Soft_tissue and Inflammatory,Segment and tag Breast anomalies suggestive of Neoplastic and Connective_Soft_tissue and Inflammatory.
3,1_Breast_fold_1_0003_img.png,Neoplastic;Inflammatory;Connective_Soft_tissue,Breast,Neoplastic and Inflammatory and Connective_Soft_tissue,Mark metastatic signatures in Breast attributed to Neoplastic and Inflammatory and Connective_Soft_tissue.
4,1_Breast_fold_1_0004_img.png,Neoplastic;Inflammatory;Connective_Soft_tissue,Breast,Neoplastic and Inflammatory and Connective_Soft_tissue,Classify the findings in this Breast image under Neoplastic and Inflammatory and Connective_Soft_tissue.
5,1_Breast_fold_1_0005_img.png,Neoplastic;Inflammatory;Connective_Soft_tissue,Breast,Neoplastic and Inflammatory and Connective_Soft_tissue,Histology confirms the presence of Neoplastic and Inflammatory and Connective_Soft_tissue in the Breast.
6,1_Breast_fold_1_0006_img.png,Neoplastic;Inflammatory;Connective_Soft_tissue,Breast,Neoplastic and Inflammatory and Connective_Soft_tissue,Segment areas in Breast most indicative of Neoplastic and Inflammatory and Connective_Soft_tissue.
7,1_Breast_fold_1_0007_img.png,Neoplastic;Connective_Soft_tissue;Inflammatory,Breast,Neoplastic and Connective_Soft_tissue and Inflammatory,Histology confirms Neoplastic and Connective_Soft_tissue and Inflammatory in the Breast.
8,1_Breast_fold_1_0008_img.png,Neoplastic;Inflammatory;Connective_Soft_tissue,Breast,Neoplastic and Inflammatory and Connective_Soft_tissue,Circle pathological accumulation inside Breast for Neoplastic and Inflammatory and Connective_Soft_tissue.
9,1_Breast_fold_1_0009_img.png,Neoplastic;Inflammatory;Connective_Soft_tissue,Breast,Neoplastic and Inflammatory and Connective_Soft_tissue,Point out Neoplastic and Inflammatory and Connective_Soft_tissue-related abnormalities in the Breast tissue.
10,1_Breast_fold_1_0010_img.png,Neoplastic;Connective_Soft_tissue;Inflammatory,Breast,Neoplastic and Connective_Soft_tissue and Inflammatory,Delineate abnormal Breast regions demonstrating Neoplastic and Connective_Soft_tissue and Inflammatory.
11,1_Breast_fold_1_0011_img.png,Neoplastic;Connective_Soft_tissue;Inflammatory,Breast,Neoplastic and Connective_Soft_tissue and Inflammatory,Segment Breast abnormalities linked to Neoplastic and Connective_Soft_tissue and Inflammatory.
12,1_Breast_fold_1_0012_img.png,Neoplastic;Connective_Soft_tissue;Inflammatory,Breast,Neoplastic and Connective_Soft_tissue and Inflammatory,Highlight regions of the Breast affected by Neoplastic and Connective_Soft_tissue and Inflammatory.
13,1_Breast_fold_1_0013_img.png,Neoplastic;Connective_Soft_tissue;Inflammatory,Breast,Neoplastic and Connective_Soft_tissue and Inflammatory,Identify foci of Neoplastic and Connective_Soft_tissue and Inflammatory in the Breast.
14,1_Breast_fold_1_0014_img.png,Neoplastic;Inflammatory;Connective_Soft_tissue,Breast,Neoplastic and Inflammatory and Connective_Soft_tissue,The Breast picture points to Neoplastic and Inflammatory and Connective_Soft_tissue.
15,1_Breast_fold_1_0015_img.png,Neoplastic;Connective_Soft_tissue,Breast,Neoplastic and Connective_Soft_tissue,Tissue morphology of the Breast is consistent with Neoplastic and Connective_Soft_tissue.
16,1_Breast_fold_1_0016_img.png,Neoplastic;Inflammatory;Connective_Soft_tissue,Breast,Neoplastic and Inflammatory and Connective_Soft_tissue,Check if this Breast is Neoplastic and Inflammatory and Connective_Soft_tissue.
17,1_Breast_fold_1_0017_img.png,Neoplastic;Inflammatory;Connective_Soft_tissue,Breast,Neoplastic and Inflammatory and Connective_Soft_tissue,This Breast is classified as Neoplastic and Inflammatory and Connective_Soft_tissue.
18,1_Breast_fold_1_0018_img.png,Neoplastic;Inflammatory;Connective_Soft_tissue,Breast,Neoplastic and Inflammatory and Connective_Soft_tissue,Microscopic study of the Breast demonstrates Neoplastic and Inflammatory and Connective_Soft_tissue.
19,1_Breast_fold_1_0019_img.png,Neoplastic;Inflammatory;Connective_Soft_tissue,Breast,Neoplastic and Inflammatory and Connective_Soft_tissue,Annotate regions of Breast demonstrating progression of Neoplastic and Inflammatory and Connective_Soft_tissue.
20,1_Breast_fold_1_0020_img.png,Neoplastic;Connective_Soft_tissue,Breast,Neoplastic and Connective_Soft_tissue,The Breast is tagged Neoplastic and Connective_Soft_tissue.
21,1_Breast_fold_1_0021_img.png,Neoplastic;Connective_Soft_tissue;Inflammatory,Breast,Neoplastic and Connective_Soft_tissue and Inflammatory,This Breast image has findings of Neoplastic and Connective_Soft_tissue and Inflammatory.
22,1_Breast_fold_1_0022_img.png,Neoplastic;Inflammatory;Connective_Soft_tissue,Breast,Neoplastic and Inflammatory and Connective_Soft_tissue,Recognize Neoplastic and Inflammatory and Connective_Soft_tissue manifestations within this Breast section.
23,1_Breast_fold_1_0023_img.png,Neoplastic;Connective_Soft_tissue;Inflammatory,Breast,Neoplastic and Connective_Soft_tissue and Inflammatory,Circle structural damage in Breast seen with Neoplastic and Connective_Soft_tissue and Inflammatory.
24,1_Breast_fold_1_0024_img.png,Neoplastic;Connective_Soft_tissue,Breast,Neoplastic and Connective_Soft_tissue,This Breast falls under Neoplastic and Connective_Soft_tissue.
25,1_Breast_fold_1_0025_img.png,Neoplastic;Connective_Soft_tissue;Inflammatory,Breast,Neoplastic and Connective_Soft_tissue and Inflammatory,Histological assessment indicates Neoplastic and Connective_Soft_tissue and Inflammatory in the Breast.
26,1_Breast_fold_1_0026_img.png,Neoplastic;Connective_Soft_tissue,Breast,Neoplastic and Connective_Soft_tissue,The Breast slide is labeled with Neoplastic and Connective_Soft_tissue.
27,1_Breast_fold_1_0027_img.png,Neoplastic;Connective_Soft_tissue,Breast,Neoplastic and Connective_Soft_tissue,The Breast is found to contain Neoplastic and Connective_Soft_tissue.
28,1_Breast_fold_1_0028_img.png,Neoplastic;Connective_Soft_tissue,Breast,Neoplastic and Connective_Soft_tissue,Mark the suspicious Breast tissue indicative of Neoplastic and Connective_Soft_tissue.
29,1_Breast_fold_1_0029_img.png,Neoplastic;Connective_Soft_tissue;Inflammatory,Breast,Neoplastic and Connective_Soft_tissue and Inflammatory,Highlight segmented lesion borders in Breast.
30,1_Breast_fold_1_0030_img.png,Neoplastic;Connective_Soft_tissue,Breast,Neoplastic and Connective_Soft_tissue,Histology confirms Neoplastic and Connective_Soft_tissue in the Breast.
31,1_Breast_fold_1_0031_img.png,Inflammatory;Connective_Soft_tissue;Epithelial;Neoplastic,Breast,Inflammatory and Connective_Soft_tissue and Epithelial and Neoplastic,Highlight regions of the Breast affected by Inflammatory and Connective_Soft_tissue and Epithelial and Neoplastic.
32,1_Breast_fold_1_0032_img.png,Neoplastic;Inflammatory;Connective_Soft_tissue;Epithelial,Breast,Neoplastic and Inflammatory and Connective_Soft_tissue and Epithelial,Histopathology confirms Neoplastic and Inflammatory and Connective_Soft_tissue and Epithelial involving the Breast.
33,1_Breast_fold_1_0033_img.png,Neoplastic;Connective_Soft_tissue;Inflammatory;Epithelial,Breast,Neoplastic and Connective_Soft_tissue and Inflammatory and Epithelial,Segment affected portions of the Breast where Neoplastic and Connective_Soft_tissue and Inflammatory and Epithelial is present.
34,1_Breast_fold_1_0034_img.png,Neoplastic;Inflammatory;Connective_Soft_tissue;Epithelial,Breast,Neoplastic and Inflammatory and Connective_Soft_tissue and Epithelial,This Breast is tagged under Neoplastic and Inflammatory and Connective_Soft_tissue and Epithelial.
35,1_Breast_fold_1_0035_img.png,Neoplastic;Inflammatory;Connective_Soft_tissue;Epithelial,Breast,Neoplastic and Inflammatory and Connective_Soft_tissue and Epithelial,Determine whether the Breast image contains indications of Neoplastic and Inflammatory and Connective_Soft_tissue and Epithelial.
36,1_Breast_fold_1_0036_img.png,Neoplastic;Connective_Soft_tissue;Epithelial,Breast,Neoplastic and Connective_Soft_tissue and Epithelial,Segment and classify zones of Breast showing Neoplastic and Connective_Soft_tissue and Epithelial.
37,1_Breast_fold_1_0037_img.png,Neoplastic;Inflammatory;Connective_Soft_tissue;Epithelial,Breast,Neoplastic and Inflammatory and Connective_Soft_tissue and Epithelial,The Breast histology is positive for Neoplastic and Inflammatory and Connective_Soft_tissue and Epithelial.
38,1_Breast_fold_1_0038_img.png,Inflammatory;Connective_Soft_tissue;Epithelial,Breast,Inflammatory and Connective_Soft_tissue and Epithelial,"Under the microscope, the Breast reveals Inflammatory and Connective_Soft_tissue and Epithelial."
39,1_Breast_fold_1_0039_img.png,Neoplastic;Connective_Soft_tissue;Inflammatory;Epithelial,Breast,Neoplastic and Connective_Soft_tissue and Inflammatory and Epithelial,Highlight regions in the Breast suggestive of Neoplastic and Connective_Soft_tissue and Inflammatory and Epithelial.
40,1_Breast_fold_1_0040_img.png,Neoplastic;Inflammatory;Connective_Soft_tissue;Epithelial,Breast,Neoplastic and Inflammatory and Connective_Soft_tissue and Epithelial,The Breast histology is positive for Neoplastic and Inflammatory and Connective_Soft_tissue and Epithelial.
