image_id,image_path,classes,organ,classes_clean,instruction
0,1_Breast_fold_1_0000_img.png,Neoplastic;Inflammatory;Connective_Soft_tissue,Breast,Neoplastic and Inflammatory and Connective_Soft_tissue,Circle evident pathology in the Breast attributed to Neoplastic and Inflammatory and Connective_Soft_tissue.
1,1_Breast_fold_1_0001_img.png,Neoplastic;Inflammatory;Connective_Soft_tissue,Breast,Neoplastic and Inflammatory and Connective_Soft_tissue,Microscopy of the Breast reveals features consistent with Neoplastic and Inflammatory and Connective_Soft_tissue.
2,1_Breast_fold_1_0002_img.png,Neoplastic;Connective_Soft_tissue;Inflammatory,Breast,Neoplastic and Connective_Soft_tissue and Inflammatory,Segment and tag Breast anomalies suggestive of Neoplastic and Connective_Soft_tissue and Inflammatory.
3,1_Breast_fold_1_0003_img.png,Neoplastic;Inflammatory;Connective_Soft_tissue,Breast,Neoplastic and Inflammatory and Connective_Soft_tissue,Mark metastatic signatures in Breast attributed to Neoplastic and Inflammatory and Connective_Soft_tissue.
4,1_Breast_fold_1_0004_img.png,Neoplastic;Inflammatory;Connective_Soft_tissue,Breast,Neoplastic and Inflammatory and Connective_Soft_tissue,Classify the findings in this Breast image under Neoplastic and Inflammatory and Connective_Soft_tissue.
5,1_Breast_fold_1_0005_img.png,Neoplastic;Inflammatory;Connective_Soft_tissue,Breast,Neoplastic and Inflammatory and Connective_Soft_tissue,Histology confirms the presence of Neoplastic and Inflammatory and Connective_Soft_tissue in the Breast.
6,1_Breast_fold_1_0006_img.png,Neoplastic;Inflammatory;Connective_Soft_tissue,Breast,Neoplastic and Inflammatory and Connective_Soft_tissue,Segment areas in Breast most indicative of Neoplastic and Inflammatory and Connective_Soft_tissue.
7,1_Breast_fold_1_0007_img.png,Neoplastic;Connective_Soft_tissue;Inflammatory,Breast,Neoplastic and Connective_Soft_tissue and Inflammatory,Histology confirms Neoplastic and Connective_Soft_tissue and Inflammatory in the Breast.
8,1_Breast_fold_1_0008_img.png,Neoplastic;Inflammatory;Connective_Soft_tissue,Breast,Neoplastic and Inflammatory and Connective_Soft_tissue,Circle pathological accumulation inside Breast for Neoplastic and Inflammatory and Connective_Soft_tissue.
9,1_Breast_fold_1_0009_img.png,Neoplastic;Inflammatory;Connective_Soft_tissue,Breast,Neoplastic and Inflammatory and Connective_Soft_tissue,Point out Neoplastic and Inflammatory and Connective_Soft_tissue-related abnormalities in the Breast tissue.
10,1_Breast_fold_1_0010_img.png,Neoplastic;Connective_Soft_tissue;Inflammatory,Breast,Neoplastic and Connective_Soft_tissue and Inflammatory,Delineate abnormal Breast regions demonstrating Neoplastic and Connective_Soft_tissue and Inflammatory.
11,1_Breast_fold_1_0011_img.png,Neoplastic;Connective_Soft_tissue;Inflammatory,Breast,Neoplastic and Connective_Soft_tissue and Inflammatory,Segment Breast abnormalities linked to Neoplastic and Connective_Soft_tissue and Inflammatory.
12,1_Breast_fold_1_0012_img.png,Neoplastic;Connective_Soft_tissue;Inflammatory,Breast,Neoplastic and Connective_Soft_tissue and Inflammatory,Highlight regions of the Breast affected by Neoplastic and Connective_Soft_tissue and Inflammatory.
13,1_Breast_fold_1_0013_img.png,Neoplastic;Connective_Soft_tissue;Inflammatory,Breast,Neoplastic and Connective_Soft_tissue and Inflammatory,Identify foci of Neoplastic and Connective_Soft_tissue and Inflammatory in the Breast.
14,1_Breast_fold_1_0014_img.png,Neoplastic;Inflammatory;Connective_Soft_tissue,Breast,Neoplastic and Inflammatory and Connective_Soft_tissue,The Breast picture points to Neoplastic and Inflammatory and Connective_Soft_tissue.
15,1_Breast_fold_1_0015_img.png,Neoplastic;Connective_Soft_tissue,Breast,Neoplastic and Connective_Soft_tissue,Tissue morphology of the Breast is consistent with Neoplastic and Connective_Soft_tissue.
16,1_Breast_fold_1_0016_img.png,Neoplastic;Inflammatory;Connective_Soft_tissue,Breast,Neoplastic and Inflammatory and Connective_Soft_tissue,Check if this Breast is Neoplastic and Inflammatory and Connective_Soft_tissue.
17,1_Breast_fold_1_0017_img.png,Neoplastic;Inflammatory;Connective_Soft_tissue,Breast,Neoplastic and Inflammatory and Connective_Soft_tissue,This Breast is classified as Neoplastic and Inflammatory and Connective_Soft_tissue.
18,1_Breast_fold_1_0018_img.png,Neoplastic;Inflammatory;Connective_Soft_tissue,Breast,Neoplastic and Inflammatory and Connective_Soft_tissue,Microscopic study of the Breast demonstrates Neoplastic and Inflammatory and Connective_Soft_tissue.
19,1_Breast_fold_1_0019_img.png,Neoplastic;Inflammatory;Connective_Soft_tissue,Breast,Neoplastic and Inflammatory and Connective_Soft_tissue,Annotate regions of Breast demonstrating progression of Neoplastic and Inflammatory and Connective_Soft_tissue.
20,1_Breast_fold_1_0020_img.png,Neoplastic;Connective_Soft_tissue,Breast,Neoplastic and Connective_Soft_tissue,The Breast is tagged Neoplastic and Connective_Soft_tissue.
21,1_Breast_fold_1_0021_img.png,Neoplastic;Connective_Soft_tissue;Inflammatory,Breast,Neoplastic and Connective_Soft_tissue and Inflammatory,This Breast image has findings of Neoplastic and Connective_Soft_tissue and Inflammatory.
22,1_Breast_fold_1_0022_img.png,Neoplastic;Inflammatory;Connective_Soft_tissue,Breast,Neoplastic and Inflammatory and Connective_Soft_tissue,Recognize Neoplastic and Inflammatory and Connective_Soft_tissue manifestations within this Breast section.
23,1_Breast_fold_1_0023_img.png,Neoplastic;Connective_Soft_tissue;Inflammatory,Breast,Neoplastic and Connective_Soft_tissue and Inflammatory,Circle structural damage in Breast seen with Neoplastic and Connective_Soft_tissue and Inflammatory.
24,1_Breast_fold_1_0024_img.png,Neoplastic;Connective_Soft_tissue,Breast,Neoplastic and Connective_Soft_tissue,This Breast falls under Neoplastic and Connective_Soft_tissue.
25,1_Breast_fold_1_0025_img.png,Neoplastic;Connective_Soft_tissue;Inflammatory,Breast,Neoplastic and Connective_Soft_tissue and Inflammatory,Histological assessment indicates Neoplastic and Connective_Soft_tissue and Inflammatory in the Breast.
26,1_Breast_fold_1_0026_img.png,Neoplastic;Connective_Soft_tissue,Breast,Neoplastic and Connective_Soft_tissue,The Breast slide is labeled with Neoplastic and Connective_Soft_tissue.
27,1_Breast_fold_1_0027_img.png,Neoplastic;Connective_Soft_tissue,Breast,Neoplastic and Connective_Soft_tissue,The Breast is found to contain Neoplastic and Connective_Soft_tissue.
28,1_Breast_fold_1_0028_img.png,Neoplastic;Connective_Soft_tissue,Breast,Neoplastic and Connective_Soft_tissue,Mark the suspicious Breast tissue indicative of Neoplastic and Connective_Soft_tissue.
29,1_Breast_fold_1_0029_img.png,Neoplastic;Connective_Soft_tissue;Inflammatory,Breast,Neoplastic and Connective_Soft_tissue and Inflammatory,Highlight segmented lesion borders in Breast.
30,1_Breast_fold_1_0030_img.png,Neoplastic;Connective_Soft_tissue,Breast,Neoplastic and Connective_Soft_tissue,Histology confirms Neoplastic and Connective_Soft_tissue in the Breast.
31,1_Colon_fold_1_0794_img.png,Neoplastic;Inflammatory;Connective_Soft_tissue,Colon,Neoplastic and Inflammatory and Connective_Soft_tissue,Define the extent of Neoplastic and Inflammatory and Connective_Soft_tissue involvement in this Colon image.
32,1_Colon_fold_1_0795_img.png,Neoplastic;Connective_Soft_tissue,Colon,Neoplastic and Connective_Soft_tissue,Highlight the spread of Neoplastic and Connective_Soft_tissue across the Colon.
33,1_Colon_fold_1_0796_img.png,Neoplastic;Inflammatory;Connective_Soft_tissue,Colon,Neoplastic and Inflammatory and Connective_Soft_tissue,Assign the correct class for this Colon: Neoplastic and Inflammatory and Connective_Soft_tissue.
34,1_Colon_fold_1_0797_img.png,Connective_Soft_tissue;Neoplastic;Inflammatory,Colon,Connective_Soft_tissue and Neoplastic and Inflammatory,The Colon slide is labeled with Connective_Soft_tissue and Neoplastic and Inflammatory.
35,1_Colon_fold_1_0798_img.png,Inflammatory;Connective_Soft_tissue;Neoplastic,Colon,Inflammatory and Connective_Soft_tissue and Neoplastic,Provide detailed outline of Colon lesion margins from Inflammatory and Connective_Soft_tissue and Neoplastic.
36,1_Colon_fold_1_0799_img.png,Connective_Soft_tissue;Inflammatory;Neoplastic,Colon,Connective_Soft_tissue and Inflammatory and Neoplastic,Circle pathology-concentrated Colon segments.
37,1_Colon_fold_1_0800_img.png,Connective_Soft_tissue;Inflammatory;Neoplastic,Colon,Connective_Soft_tissue and Inflammatory and Neoplastic,The Colon biopsy slides demonstrate Connective_Soft_tissue and Inflammatory and Neoplastic.
38,1_Colon_fold_1_0801_img.png,Inflammatory;Connective_Soft_tissue;Neoplastic,Colon,Inflammatory and Connective_Soft_tissue and Neoplastic,The Colon belongs to category Inflammatory and Connective_Soft_tissue and Neoplastic.
39,1_Colon_fold_1_0802_img.png,Inflammatory;Connective_Soft_tissue;Neoplastic,Colon,Inflammatory and Connective_Soft_tissue and Neoplastic,We see Inflammatory and Connective_Soft_tissue and Neoplastic in the Colon.
40,1_Colon_fold_1_0803_img.png,Inflammatory;Connective_Soft_tissue;Neoplastic,Colon,Inflammatory and Connective_Soft_tissue and Neoplastic,We can identify Inflammatory and Connective_Soft_tissue and Neoplastic in the Colon.
41,1_Colon_fold_1_0804_img.png,Inflammatory;Connective_Soft_tissue;Neoplastic,Colon,Inflammatory and Connective_Soft_tissue and Neoplastic,Mark critical abnormalities in Colon reflecting Inflammatory and Connective_Soft_tissue and Neoplastic.
