image_id,fold,tissue_type,classes_present,instruction,original_index
pannuke_f1_0000,1,Breast,Neoplastic;Inflammatory;Connective_Soft_tissue,"Identify all neoplastic, inflammatory and connective soft tissue regions.",0
pannuke_f1_0001,1,Breast,Neoplastic;Inflammatory;Connective_Soft_tissue,"Segment neoplastic, inflammatory and connective soft tissue tissue morphology.",1
pannuke_f1_0002,1,Breast,Neoplastic;Connective_Soft_tissue,Identify neoplastic and connective soft tissue nuclear characteristics.,2
pannuke_f1_0003,1,Breast,Neoplastic,Segment neoplastic throughout the image.,3
pannuke_f1_0004,1,Breast,Neoplastic;Inflammatory;Connective_Soft_tissue,"Delineate visible neoplastic, inflammatory and connective soft tissue tissue.",4
pannuke_f1_0005,1,Breast,Neoplastic;Inflammatory;Connective_Soft_tissue,"Segment neoplastic, inflammatory and connective soft tissue being careful to capture all regions.",5
pannuke_f1_0006,1,Breast,Neoplastic;Inflammatory;Connective_Soft_tissue,"Spot neoplastic, inflammatory and connective soft tissue cells.",6
pannuke_f1_0007,1,Breast,Neoplastic;Connective_Soft_tissue,Define neoplastic and connective soft tissue extent.,7
pannuke_f1_0008,1,Breast,Neoplastic;Inflammatory;Connective_Soft_tissue,"Delineate visible neoplastic, inflammatory and connective soft tissue areas.",8
pannuke_f1_0009,1,Breast,Neoplastic;Inflammatory;Connective_Soft_tissue,"Detect the neoplastic, inflammatory and connective soft tissue areas.",9
pannuke_f1_0010,1,Breast,Neoplastic;Connective_Soft_tissue,Segment neoplastic and connective soft tissue histopathological features.,10
pannuke_f1_0011,1,Breast,Neoplastic;Connective_Soft_tissue,Study this Breast section and mark neoplastic and connective soft tissue.,11
pannuke_f1_0012,1,Breast,Neoplastic;Connective_Soft_tissue,Recognize visible neoplastic and connective soft tissue.,12
pannuke_f1_0013,1,Breast,Neoplastic;Connective_Soft_tissue,Identify the neoplastic and connective soft tissue structures.,13
pannuke_f1_0014,1,Breast,Neoplastic;Inflammatory;Connective_Soft_tissue,"Mark the neoplastic, inflammatory and connective soft tissue areas.",14
pannuke_f1_0015,1,Breast,Neoplastic;Connective_Soft_tissue,Indicate where neoplastic and connective soft tissue is present.,15
pannuke_f1_0016,1,Breast,Neoplastic;Inflammatory;Connective_Soft_tissue,"Segment neoplastic, inflammatory and connective soft tissue areas in this slide.",16
pannuke_f1_0017,1,Breast,Neoplastic;Inflammatory;Connective_Soft_tissue,"Segment neoplastic, inflammatory and connective soft tissue zones.",17
pannuke_f1_0018,1,Breast,Neoplastic;Inflammatory;Connective_Soft_tissue,"Assignment: segment neoplastic, inflammatory and connective soft tissue tissue.",18
pannuke_f1_0019,1,Breast,Neoplastic;Inflammatory;Connective_Soft_tissue,"Required: neoplastic, inflammatory and connective soft tissue segmentation.",19
pannuke_f1_0020,1,Breast,Neoplastic,Draw neoplastic boundaries.,20
pannuke_f1_0021,1,Breast,Neoplastic;Connective_Soft_tissue,Where are the neoplastic and connective soft tissue regions?,21
pannuke_f1_0022,1,Breast,Neoplastic,Detect visible neoplastic.,22
pannuke_f1_0023,1,Breast,Neoplastic;Connective_Soft_tissue,Show me the neoplastic and connective soft tissue areas.,23
pannuke_f1_0024,1,Breast,Neoplastic,Label visible neoplastic.,24
pannuke_f1_0025,1,Breast,Neoplastic;Connective_Soft_tissue,Mark neoplastic and connective soft tissue cellular infiltration.,25
pannuke_f1_0026,1,Breast,Neoplastic;Connective_Soft_tissue,Mark foci of neoplastic and connective soft tissue activity.,26
pannuke_f1_0027,1,Breast,Neoplastic;Connective_Soft_tissue,Highlight visible neoplastic and connective soft tissue structures.,27
pannuke_f1_0028,1,Breast,Neoplastic;Connective_Soft_tissue,Delineate neoplastic and connective soft tissue in Breast pathology.,28
pannuke_f1_0029,1,Breast,Neoplastic;Connective_Soft_tissue,"Observing this sample, delineate neoplastic and connective soft tissue.",29
pannuke_f1_0030,1,Breast,Neoplastic,Segment tissue showing neoplastic.,30
pannuke_f1_0031,1,Breast,Inflammatory;Connective_Soft_tissue,Spot the inflammatory and connective soft tissue regions.,31
pannuke_f1_0032,1,Breast,Neoplastic;Inflammatory;Connective_Soft_tissue,"Identify neoplastic, inflammatory and connective soft tissue chromatin patterns.",32
pannuke_f1_0033,1,Breast,Neoplastic;Connective_Soft_tissue,"Within Breast architecture, locate neoplastic and connective soft tissue.",33
pannuke_f1_0034,1,Breast,Neoplastic;Inflammatory;Connective_Soft_tissue,"Mark present neoplastic, inflammatory and connective soft tissue tissue.",34
pannuke_f1_0035,1,Breast,Neoplastic;Inflammatory;Connective_Soft_tissue,"Identify neoplastic, inflammatory and connective soft tissue cellular morphology.",35
pannuke_f1_0036,1,Breast,Neoplastic;Connective_Soft_tissue,Target neoplastic and connective soft tissue regions.,36
pannuke_f1_0037,1,Breast,Neoplastic;Inflammatory;Connective_Soft_tissue,"Segment the neoplastic, inflammatory and connective soft tissue portions.",37
pannuke_f1_0038,1,Breast,Inflammatory;Connective_Soft_tissue,"In Breast histology, delineate inflammatory and connective soft tissue.",38
pannuke_f1_0039,1,Breast,Neoplastic;Connective_Soft_tissue,neoplastic and connective soft tissue is visible. Segment the regions.,39
pannuke_f1_0040,1,Breast,Neoplastic;Inflammatory;Connective_Soft_tissue,"Segment neoplastic, inflammatory and connective soft tissue areas in this slide.",40
pannuke_f1_0041,1,Breast,Inflammatory;Connective_Soft_tissue,Circle the inflammatory and connective soft tissue regions.,41
pannuke_f1_0042,1,Breast,Neoplastic;Connective_Soft_tissue,"In the Breast specimen, label neoplastic and connective soft tissue.",42
pannuke_f1_0043,1,Breast,Neoplastic;Connective_Soft_tissue,"In this Breast tissue, segment neoplastic and connective soft tissue.",43
pannuke_f1_0044,1,Breast,Neoplastic;Connective_Soft_tissue,Highlight the neoplastic and connective soft tissue regions.,44
pannuke_f1_0045,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Identify all inflammatory, connective soft tissue and epithelial tissue.",45
pannuke_f1_0046,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Mark visible inflammatory, connective soft tissue and epithelial regions.",46
pannuke_f1_0047,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"This section has inflammatory, connective soft tissue and epithelial. Locate and mark.",47
pannuke_f1_0048,1,Breast,Inflammatory;Connective_Soft_tissue;Epithelial,"Circle inflammatory, connective soft tissue and epithelial cells.",48
pannuke_f1_0049,1,Breast,Connective_Soft_tissue;Epithelial,Delineate visible connective soft tissue and epithelial tissue.,49
pannuke_f1_0050,1,Breast,Connective_Soft_tissue;Epithelial,Identify connective soft tissue and epithelial spatial arrangement.,50
pannuke_f1_0051,1,Breast,Neoplastic;Connective_Soft_tissue,Please locate neoplastic and connective soft tissue.,51
pannuke_f1_0052,1,Breast,Neoplastic;Connective_Soft_tissue,Partition neoplastic and connective soft tissue regions.,52
pannuke_f1_0053,1,Breast,Neoplastic,"Shown this histology, mark neoplastic.",53
